name,zip, Commissionable Orders, Negative Comments, Positive Comments,% Kill Rate,Avg Basket Size €,Avg Time to Accept (s)
Moserhofstub'n im Wirtshaus zum Ganster,8010,3.0,0.0,0.0,24.0,0.0,0.0
Mr. Falafel,8010,0.0,0.0,0.0,0.0,0.0,0.0
Mr.Falafel,8010,39.0,1.0,1.0,125.0,14.96,18.0
Mumbai Cuisine,8010,10.0,0.0,0.0,0.0,21.01,563.0
Mur- Pizzeria & Kebap,8010,62.0,1.0,1.0,64.0,10.62,563.0
Murphy's Sports Bar,8010,0.0,0.0,0.0,0.0,0.0,0.0
NAM Vietnamese Street Food,8010,212.0,2.0,1.0,69.0,22.08,523.0
NORDSEE,8010,30.0,0.0,1.0,42.0,22.29,390.0
NORDSEE - SC Seiersberg,8055,7.0,0.0,0.0,0.0,0.0,0.0
Naheds Küche,8020,11.0,0.0,0.0,48.0,14.03,145.0
Namaste Nepal Restaurant,8010,0.0,0.0,0.0,0.0,0.0,0.0
Nangfha Cafe Thai Style,8010,18.0,0.0,1.0,68.0,17.32,402.0
Neu Nagoja,8054,0.0,0.0,0.0,0.0,0.0,0.0
Noodle House,8010,112.0,0.0,1.0,93.0,14.91,517.0
Noodle King,8055,0.0,0.0,0.0,0.0,0.0,0.0
Nostalgie Stüberl,8010,0.0,0.0,0.0,0.0,0.0,0.0
OMV - VIVA Shop,8010,62.0,0.0,1.0,78.0,17.12,578.0
OMV - VIVA Shop,8054,33.0,0.0,1.0,0.0,19.37,455.0
Omoka Afrikanisches Restaurant,8020,26.0,1.0,1.0,0.0,20.73,296.0
Onkel Donald Döner und Pizza,8020,42.0,0.0,1.0,74.0,19.41,12.0
Osaka -Japan Restaurant,8020,129.0,1.0,1.0,105.0,29.64,475.0
Ossi´s Pizza & Burger,8045,2.0,0.0,0.0,0.0,0.0,0.0
PARKS-Art,8020,0.0,0.0,0.0,24.0,0.0,0.0
PEP Deli vom Land,8020,13.0,0.0,1.0,0.0,22.65,284.0
PHO YOU,8010,2.0,0.0,0.0,231.0,0.0,0.0
Panda Asia,8010,79.0,2.0,1.0,133.0,25.34,492.0
Paradiso,8010,0.0,0.0,0.0,0.0,0.0,0.0
Parks Bio Fairtrade Coffee Shop,8010,86.0,1.0,1.0,32.0,17.77,467.0
Pastaria,8010,0.0,0.0,0.0,0.0,0.0,0.0
Peppino im Hofkeller,8010,0.0,0.0,0.0,0.0,0.0,0.0
Peppone,8010,0.0,0.0,0.0,173.0,0.0,0.0
Peri - Peri Chicken & Burger,8010,241.0,3.0,1.0,96.0,18.61,25.0
Phoenix Restaurant,8020,0.0,0.0,0.0,0.0,0.0,0.0
Pi Pa Po,8055,80.0,0.0,1.0,179.0,24.52,366.0
Pierogi,8010,9.0,0.0,0.0,59.0,25.06,425.0
Pizza & Burger,8020,508.0,2.0,1.0,74.0,16.48,17.0
Pizza Anka,8020,80.0,0.0,1.0,29.0,11.5,339.0
Pizza Burg,8041,114.0,3.0,1.0,0.12,23.95,11.0
Pizza Galerie,8010,185.0,1.0,1.0,72.0,20.35,16.0
Pizza Maxxx,8045,363.0,4.0,1.0,77.0,23.22,18.0
Pizza Presto,8053,195.0,1.0,1.0,94.0,22.02,23.0
Pizza Profi,8051,430.0,3.0,1.0,93.0,17.87,14.0
