name,zip,kpi,month_1,month_2,delivery_service,orders
Halici - Cafe Kebaphaus,8020, Commissionable Orders,87.0,52.0,deliverando,139.0
SO/SO,8010, Commissionable Orders,2.0,6.0,deliverando,8.0
Bierbaron,8010, Commissionable Orders,72.0,144.0,deliverando,216.0
Pizzeria Ristorante Zeppelin,8010, Commissionable Orders,99.0,158.0,deliverando,257.0
Continuum,8010, Commissionable Orders,56.0,64.0,deliverando,120.0
Isaan Thai,8010, Commissionable Orders,117.0,131.0,deliverando,248.0
Venezia Star,8020, Commissionable Orders,7.0,8.0,deliverando,15.0
Konoba Kroatien,8010, Commissionable Orders,9.0,8.0,deliverando,17.0
McDonald's®,8054, Commissionable Orders,1010.0,903.0,deliverando,1913.0
Confiserie Heindl,8010, Commissionable Orders,7.0,8.0,deliverando,15.0
China Restaurant Sichuan,8020, Commissionable Orders,39.0,38.0,deliverando,77.0
Zu den 3 goldenen Kugeln,8041, Commissionable Orders,14.0,10.0,deliverando,24.0
Zu den 3 goldenen Kugeln,8055, Commissionable Orders,1.0,5.0,deliverando,6.0
Zu den 3 goldenen Kugeln,8055, Commissionable Orders,14.0,13.0,deliverando,27.0
Granola,8054, Commissionable Orders,0.0,13.0,deliverando,13.0
Granola,8055, Commissionable Orders,1.0,7.0,deliverando,8.0
Neu Nagoja,8054, Commissionable Orders,0.0,0.0,deliverando,0.0
Rosamunde,8041, Commissionable Orders,99.0,67.0,deliverando,166.0
Naheds Küche,8020, Commissionable Orders,5.0,11.0,deliverando,16.0
Chin Chin Asia Specials,8010, Commissionable Orders,853.0,727.0,deliverando,1580.0
Brau32,8010, Commissionable Orders,32.0,11.0,deliverando,43.0
YA HABIBI - marokkanische Küche,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Ralf's Come In,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Crazy Dogs,8055, Commissionable Orders,0.0,9.0,deliverando,9.0
Cooking Wu,8052, Commissionable Orders,5.0,27.0,deliverando,32.0
Dionysos,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Cipollino - Das Original,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Area 5,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Subway,8020, Commissionable Orders,24.0,0.0,deliverando,24.0
Subway,8055, Commissionable Orders,5.0,73.0,deliverando,78.0
Eye Aseda Ghana and Asian Kitchen,8020, Commissionable Orders,2.0,4.0,deliverando,6.0
Ugarit -Mediterranes Restaurant,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Tasty Donuts & Coffee,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Mr.Falafel,8010, Commissionable Orders,48.0,39.0,deliverando,87.0
Campus Beisl,8010, Commissionable Orders,24.0,12.0,deliverando,36.0
Ferdls Restaurant,8054, Commissionable Orders,17.0,19.0,deliverando,36.0
Best Food Grill 4,8020, Commissionable Orders,9.0,25.0,deliverando,34.0
PHO YOU,8010, Commissionable Orders,5.0,2.0,deliverando,7.0
Pizza Galerie,8010, Commissionable Orders,355.0,185.0,deliverando,540.0
Pyramidana,8054, Commissionable Orders,55.0,58.0,deliverando,113.0
Torino Pizza Kebap Burger,8010, Commissionable Orders,66.0,35.0,deliverando,101.0
Don Camillo,8041, Commissionable Orders,51.0,41.0,deliverando,92.0
Mur- Pizzeria & Kebap,8010, Commissionable Orders,75.0,62.0,deliverando,137.0
Uhrturmbäckerei,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Geidorf Standl,8010, Commissionable Orders,13.0,2.0,deliverando,15.0
Best Food Grill 6,8010, Commissionable Orders,5.0,0.0,deliverando,5.0
Masala,8010, Commissionable Orders,192.0,109.0,deliverando,301.0
Humuhumu Poke Bar,8010, Commissionable Orders,160.0,112.0,deliverando,272.0
Zushi Market,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Chin Chin Asian Special,8020, Commissionable Orders,720.0,1026.0,deliverando,1746.0
Mamacita - California Burritos,8010, Commissionable Orders,1010.0,1067.0,deliverando,2077.0
Captain's Riff,8010, Commissionable Orders,50.0,35.0,deliverando,85.0
Gaisbergstubn,8020, Commissionable Orders,98.0,74.0,deliverando,172.0
Horosh,8010, Commissionable Orders,13.0,12.0,deliverando,25.0
Pizzeria Nero & Kebap,8020, Commissionable Orders,38.0,21.0,deliverando,59.0
Brasilva,8020, Commissionable Orders,2.0,0.0,deliverando,2.0
Don Daniele,8020, Commissionable Orders,210.0,343.0,deliverando,553.0
Sultan,8020, Commissionable Orders,85.0,76.0,deliverando,161.0
MC Döner,8020, Commissionable Orders,106.0,68.0,deliverando,174.0
Pierogi,8010, Commissionable Orders,14.0,9.0,deliverando,23.0
Ganesha,8010, Commissionable Orders,37.0,57.0,deliverando,94.0
Tick-Tack,8010, Commissionable Orders,194.0,122.0,deliverando,316.0
Babo Chicken,8010, Commissionable Orders,181.0,114.0,deliverando,295.0
Propeller,8010, Commissionable Orders,128.0,115.0,deliverando,243.0
Brandhof,8010, Commissionable Orders,10.0,83.0,deliverando,93.0
Santa Lucia,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Zu den 3 goldenen Kugeln,8010, Commissionable Orders,0.0,23.0,deliverando,23.0
Die goldene Banane,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Sägewerk Klassik,8010, Commissionable Orders,120.0,160.0,deliverando,280.0
Cafe Erde,8010, Commissionable Orders,240.0,180.0,deliverando,420.0
Akdag Kebap,8020, Commissionable Orders,144.0,98.0,deliverando,242.0
Rosamunde,8010, Commissionable Orders,72.0,82.0,deliverando,154.0
Burger Land,8010, Commissionable Orders,324.0,370.0,deliverando,694.0
Rosamunde,8010, Commissionable Orders,230.0,313.0,deliverando,543.0
LIKE PIZZA KEBAP BURGER,8055, Commissionable Orders,43.0,29.0,deliverando,72.0
Ali mit Alles,8010, Commissionable Orders,285.0,184.0,deliverando,469.0
Arena Grill & Fast Food,8020, Commissionable Orders,82.0,66.0,deliverando,148.0
Nangfha Cafe Thai Style,8010, Commissionable Orders,28.0,18.0,deliverando,46.0
Zur Steirerstub'n,8020, Commissionable Orders,43.0,42.0,deliverando,85.0
HEINZ Graz Nord,8041, Commissionable Orders,104.0,171.0,deliverando,275.0
WILDING - FETT ESSEN,8010, Commissionable Orders,489.0,494.0,deliverando,983.0
Kostes Coffeshop & Restaurant,8010, Commissionable Orders,35.0,27.0,deliverando,62.0
Cofeba,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Gösser Bräu Graz,8010, Commissionable Orders,10.0,11.0,deliverando,21.0
Al Pomodoro- Ristorante Pizzeria,8010, Commissionable Orders,55.0,62.0,deliverando,117.0
Jodl - Süßigkeiten & Getränke,8010, Commissionable Orders,12.0,7.0,deliverando,19.0
Sägewerk Sport,8010, Commissionable Orders,80.0,106.0,deliverando,186.0
Posaune,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Wilding im Hof - FETT ESSEN,8010, Commissionable Orders,345.0,358.0,deliverando,703.0
Casa Costiera - Cucina di mare & Pizzeria,8010, Commissionable Orders,111.0,142.0,deliverando,253.0
Restaurant Demiri,8020, Commissionable Orders,46.0,32.0,deliverando,78.0
Restaurant La Done,8020, Commissionable Orders,122.0,67.0,deliverando,189.0
PARKS-Art,8020, Commissionable Orders,39.0,0.0,deliverando,39.0
Esserei - Pasteria,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Parks Bio Fairtrade Coffee Shop,8010, Commissionable Orders,108.0,86.0,deliverando,194.0
Pi Pa Po,8055, Commissionable Orders,70.0,80.0,deliverando,150.0
